Location,Country,County,CSV,Grid Reference,Latitude,Longitude,Elevation
TAFF-FECHAN-NEUADD-RES,Wales,Brecknockshire,TAFF-FECHAN-NEUADD-RES-4.csv,SO032184,51.856,-3.407,1487
TAFF-FECHAN-NEUADD-RES,Wales,Brecknockshire,TAFF-FECHAN-NEUADD-RES-5.csv,SO032185,51.857,-3.407,1524
TAFF-FECHAN-NEUADD-RES,Wales,Brecknockshire,TAFF-FECHAN-NEUADD-RES-6.csv,SO032185,51.857,-3.407,1520
TAFF-FECHAN-NEUADD-RES,Wales,Brecknockshire,TAFF-FECHAN-NEUADD-RES-7.csv,SO020192,51.863,-3.425,1993
TAFF-FECHAN-NEUADD-RES,Wales,Brecknockshire,TAFF-FECHAN-NEUADD-RES-8.csv,SO018197,51.868,-3.427,1925
TAFF-FECHAN-NEUADD-RES,Wales,Brecknockshire,TAFF-FECHAN-NEUADD-RES-9.csv,SO026195,51.866,-3.416,1515
TAFF-FECHAN-PENTWYN-RES,Wales,Brecknockshire,TAFF-FECHAN-PENTWYN-RES.csv,SO056145,51.821,-3.371,1120
TAFF-FECHAN-PENTWYN-RES,Wales,Brecknockshire,TAFF-FECHAN-PENTWYN-RES-2.csv,SO056145,51.821,-3.371,1120
TAIN-SPRINGFIELD,Scotland,Ross and Cromarty,TAIN-SPRINGFIELD.csv,NH775825,57.815,-4.064,80
TAIN-SPRINGFIELD,Scotland,Ross and Cromarty,TAIN-SPRINGFIELD-2.csv,NH775825,57.815,-4.064,80
TAIN-SPRINGFIELD,Scotland,Ross and Cromarty,TAIN-SPRINGFIELD-3.csv,NH775825,57.815,-4.064,80
TAMWORTH-LICHFIELD-ST,England,Staffordshire,TAMWORTH-LICHFIELD-ST.csv,SK203039,52.632,-1.701,200
TAN-Y-BWLCH-DOL-Y-MOCH,Wales,Merionethshire,TAN-Y-BWLCH-DOL-Y-MOCH.csv,SH684418,52.957,-3.961,55
TAN-Y-BWLCH-PLAS-GDNS,Wales,Merionethshire,TAN-Y-BWLCH-PLAS-GDNS.csv,SH648402,52.942,-4.013,55
TANDERAGEE,Ireland/Northern Ireland,Armagh,TANDERAGEE.csv,IJ0305246287,54.355,-6.416,198
TANDERAGEE,Ireland/Northern Ireland,Armagh,TANDERAGEE-2.csv,IJ0305246288,54.355,-6.416,198
TAPLOW-COURT,England,Buckinghamshire,TAPLOW-COURT.csv,SU906822,51.531,-0.695,217
TAPLOW-COURT,England,Buckinghamshire,TAPLOW-COURT-2.csv,SU906822,51.531,-0.695,212
TARBETNESS,Scotland,Ross and Cromarty,TARBETNESS.csv,NH947875,57.865,-3.776,62
TARBETNESS,Scotland,Ross and Cromarty,TARBETNESS-2.csv,NH947875,57.865,-3.776,60
TARN-BANK,England,Cumberland,TARN-BANK.csv,NY073296,54.654,-3.437,225
TARN-BANK,England,Cumberland,TARN-BANK-2.csv,NY073296,54.654,-3.437,225
TARN-BANK,England,Cumberland,TARN-BANK-3.csv,NY073296,54.654,-3.437,225
TATSFIELD-BETSOM-HILL,England,Kent-stayed-Kent,TATSFIELD-BETSOM-HILL.csv,TQ430563,51.288,0.049,820
TAUNTON,England,Somerset,TAUNTON.csv,ST221251,51.020,-3.112,55
TAUNTON-FULLANDS-SCHOOL,England,Somerset,TAUNTON-FULLANDS-SCHOOL.csv,ST237230,51.001,-3.089,96
TAUNTON-VIVARY-PARK,England,Somerset,TAUNTON-VIVARY-PARK.csv,ST223243,51.013,-3.109,60
TAUNTON-VIVARY-PARK,England,Somerset,TAUNTON-VIVARY-PARK-2.csv,ST228238,51.008,-3.102,71
TAVISTOCK-RES,England,Devon,TAVISTOCK-RES.csv,SX481747,50.553,-4.145,457
TAVISTOCK-THE-LIBRARY,England,Devon,TAVISTOCK-THE-LIBRARY.csv,SX482745,50.551,-4.144,283
TAVISTOCK-WEST-STREET,England,Devon,TAVISTOCK-WEST-STREET.csv,SX480743,50.550,-4.148,286
TAVISTOCK-WEST-STREET,England,Devon,TAVISTOCK-WEST-STREET-2.csv,SX480743,50.550,-4.146,272
TAYLORS-GILL,England,Cumberland,TAYLORS-GILL.csv,NY228109,54.488,-3.192,1077
TAYPORT-LIGHTHOUSE,Scotland,Fife,TAYPORT-LIGHTHOUSE.csv,NO450293,56.453,-2.894,27
TEDDINGTON-GOMER-HOUSE,England,Middlesex-stayed-Middlesex,TEDDINGTON-GOMER-HOUSE.csv,TQ161708,51.424,-0.332,26
TEMPLE-COMBE-RECTORY,England,Somerset,TEMPLE-COMBE-RECTORY.csv,ST712229,51.005,-2.411,250
TEMPSFORD-HALL,England,Bedfordshire,TEMPSFORD-HALL.csv,TL164535,52.167,-0.300,80
TENBURY-ROCHFORD-RECTORY,England,Worcestershire,TENBURY-ROCHFORD-RECTORY.csv,SO620675,52.304,-2.559,317
TENBURY-ST-MICHAELS,England,Worcestershire,TENBURY-ST-MICHAELS.csv,SO583657,52.288,-2.613,343
TENBY-MIX,Wales,Pembrokeshire,TENBY-MIX.csv,SN135004,51.671,-4.698,65
TENBY-MIX,Wales,Pembrokeshire,TENBY-MIX-2.csv,SN131002,51.670,-4.704,90
TENTERDEN-ASHBOURNE,England,Kent-stayed-Kent,TENTERDEN-ASHBOURNE.csv,TQ865329,51.065,0.660,45
TENTERDEN-SUMMERHILL,England,Kent-stayed-Kent,TENTERDEN-SUMMERHILL.csv,TQ895311,51.048,0.702,150
TENTERDEN-SUMMERHILL,England,Kent-stayed-Kent,TENTERDEN-SUMMERHILL-2.csv,TQ895311,51.048,0.702,150
TENTERDEN-VIEW-TOWER,England,Kent-stayed-Kent,TENTERDEN-VIEW-TOWER.csv,TQ888334,51.070,0.695,190
