Block Id,BlockType,TextType,Confidence,Top,Left,Polygon Points,Text
[656b8d17-ca5b-4698-97a7-15c53d1b369f],WORD,PRINTED,72.981,0.24000,0.06183,4,[#]
[45329117-369f-42bf-9395-14c8d5055408],WORD,HANDWRITING,93.289,0.25446,0.10851,4,[0.0]
[ff78971b-4a94-441b-85c1-44d956b32c80],WORD,HANDWRITING,99.885,0.25021,0.24368,4,[0.00]
[b48a1a92-48f4-4dcd-8baa-c6d25f3b92b2],WORD,HANDWRITING,86.477,0.24298,0.44010,4,[0.00]
[7be34c6f-e73b-45e6-8116-909c28bc859f],WORD,HANDWRITING,69.884,0.23658,0.64389,4,[0.00]
[4e116a3d-5a2f-4bc9-b162-77d6739f60da],WORD,HANDWRITING,99.809,0.25204,0.17682,4,[0.00]
[44217e47-90c2-42df-8ae8-ffa8b5e6f032],WORD,HANDWRITING,22.286,0.24603,0.30808,4,[0.000.00]
[a9aaaf1d-3026-4ff7-afb0-10882decfb17],WORD,PRINTED,63.540,0.26152,0.06161,4,[3]
[23e7c9ba-9334-4507-8789-c51cb5106fbc],WORD,HANDWRITING,89.234,0.26321,0.43942,4,[0.11]
[fca745ea-81a0-4f9e-ae76-04d42acf0dc3],WORD,HANDWRITING,97.387,0.26097,0.50566,4,[0.00]
[044eda84-1e74-416c-81cc-5c4004ea608a],WORD,HANDWRITING,76.864,0.25896,0.57221,4,[0.00]
[e17c6ed7-06f6-4bcb-acc4-fc68213df836],WORD,PRINTED,93.991,0.25728,0.64253,4,[0.00]
[882e90b0-c487-41d4-b391-a46f73d5a328],WORD,HANDWRITING,99.919,0.25478,0.71189,4,[0.00]
[5107a058-4519-4e21-9114-e1203dc609fc],WORD,HANDWRITING,83.434,0.25056,0.78072,4,[0.50]
[769e4939-63a8-4d2f-ba0f-4be68feda8c9],WORD,PRINTED,99.645,0.24974,0.84727,4,[0.00]
[0f559f36-8028-4b1c-8ea5-82e0d41d4619],WORD,PRINTED,71.506,0.25085,0.93118,4,[4]
[4b96196f-b2f3-41ad-99f7-08584feb8048],WORD,HANDWRITING,99.661,0.27320,0.17711,4,[0.00]
[f09a4ebe-ac7d-4c84-90c9-06b2d10a3c52],WORD,HANDWRITING,99.738,0.26912,0.23933,4,[0.00]
[5699a8d9-00b9-4dbf-af7c-f276fe545382],WORD,HANDWRITING,59.018,0.26612,0.30678,4,[0.000.32]
[a964d269-320e-44c7-80e7-fe7b7f0b3aae],WORD,PRINTED,99.171,0.27165,0.84605,4,[0.00]
[7d6f8005-ddd1-4cd2-b541-2f7406af5b21],WORD,PRINTED,68.605,0.27187,0.93132,4,[s]
[6e1a9582-603d-447d-952c-b6635df81a31],WORD,PRINTED,84.525,0.28242,0.06171,4,[4]
[3fd1d237-c480-45a7-baea-1a4db141a3d2],WORD,HANDWRITING,99.052,0.27550,0.10946,4,[0.0]
[7b5adf31-bf38-44c7-b19c-ccfef2cde7d7],WORD,HANDWRITING,98.546,0.29383,0.17160,4,[0.00]
[c9a101f3-e7ab-48c0-b47c-1b7c9899b307],WORD,HANDWRITING,96.539,0.29037,0.23885,4,[0.2]
[135b87ed-1a2a-4393-bb26-35ed1a0bebea],WORD,HANDWRITING,93.261,0.28951,0.30375,4,[0.00]
[a826861b-8fac-42b9-89d0-3081e5155335],WORD,PRINTED,93.934,0.28871,0.37047,4,[0.29]
[29a11aad-ed80-4eed-825e-6012d4154132],WORD,HANDWRITING,56.368,0.28478,0.43905,4,[0.7]
[5a1a1fe5-d34a-4c98-afcd-db1aa8b03902],WORD,HANDWRITING,97.995,0.28317,0.50736,4,[0.26]
[0b56f88e-41d5-432f-a502-acb1c0bcb5a2],WORD,PRINTED,93.966,0.28086,0.57383,4,[0.00]
[268d073d-26b7-40a2-b022-988ffa0dd213],WORD,HANDWRITING,90.364,0.27913,0.64204,4,[0.00]
[1e27ce07-4c0d-4a69-9a8a-917cda2ed2c2],WORD,HANDWRITING,99.042,0.27690,0.70962,4,[0.00]
[019a0c2e-1b5a-4f21-997d-6111515a6b41],WORD,PRINTED,86.107,0.27366,0.78122,4,[0.10]
[594527f0-2548-4f6f-9816-bd7a69602333],WORD,PRINTED,59.416,0.30220,0.05952,4,[5]
[310b9bb4-f532-4a40-a756-0f624982fc88],WORD,HANDWRITING,91.040,0.29764,0.10913,4,[0.71]
[e26a4537-e0b1-4c9f-8ebf-0d3cce24b091],WORD,PRINTED,99.673,0.30809,0.43974,4,[0.11]
[f675cf27-2c29-4a82-aa74-f2d2f4dedf32],WORD,HANDWRITING,99.822,0.30717,0.50349,4,[0.00]
[01b09106-7e47-4004-8952-89a7fad79f1f],WORD,PRINTED,98.035,0.30377,0.57219,4,[0.00]
[01429efa-45d0-48d8-90ad-a266ced5e1c5],WORD,HANDWRITING,96.639,0.30133,0.64133,4,[0.00]
[2010deb7-da17-4a1b-a643-4ad84d044aee],WORD,HANDWRITING,99.543,0.30039,0.70929,4,[0.00]
[ba637aed-7421-4bbc-a26e-d94fd4bb8533],WORD,PRINTED,95.781,0.29867,0.78091,4,[0.00]
[1da34573-57ce-44b9-83fc-7fe17909f112],WORD,HANDWRITING,82.524,0.29532,0.84658,4,[1.32]
[4f3758c3-9402-4560-83be-202335cbc5a5],WORD,PRINTED,94.729,0.29655,0.93267,4,[6]
[2741dee2-df83-4578-bebb-9e42fc7085d3],WORD,HANDWRITING,99.699,0.31849,0.10531,4,[0.10]
[5f4b2c22-a055-4e4a-bc1c-77bf26c1ec33],WORD,HANDWRITING,98.943,0.31572,0.17170,4,[0.00]
[478addc4-922f-4566-b9e6-64bbd1a7f424],WORD,HANDWRITING,72.915,0.31252,0.23802,4,[0.000.00]
[f6ec3110-bc4d-4394-a7c3-0abd9a5338ae],WORD,HANDWRITING,95.855,0.31204,0.37361,4,[0.2]
[5c79f135-e658-4bc6-b856-ed8769d17eaf],WORD,PRINTED,38.602,0.32513,0.05819,4,[6]
[647acded-73a2-4ae6-a391-a9fcb5469e31],WORD,HANDWRITING,99.422,0.34157,0.09963,4,[0.10]
[45d3f4c6-28ef-4944-ba38-99ea9750d6f8],WORD,PRINTED,99.287,0.33766,0.16949,4,[0.00]
[39baf936-34de-4306-b752-34725ff80656],WORD,HANDWRITING,95.078,0.33616,0.23464,4,[0.00]
[4b72bcbd-d144-4942-9e8e-4cdd7e210ec4],WORD,HANDWRITING,96.990,0.33417,0.30389,4,[020]
[2da6a1aa-d01a-4f70-b711-0a896d38fbf3],WORD,PRINTED,98.821,0.33048,0.43941,4,[0.00]
[6631cde2-812a-4d54-b662-c7ddaf121520],WORD,HANDWRITING,99.859,0.32767,0.50144,4,[0.00]
[f39736f0-b4d4-418f-8b08-b6a391bca1ff],WORD,HANDWRITING,99.621,0.32522,0.57165,4,[0.00]
[98115989-7dfc-4d69-abad-da4596575ebc],WORD,HANDWRITING,99.817,0.32287,0.64014,4,[0.00]
[ec78c045-80b1-4280-916a-2e2047a0969a],WORD,PRINTED,99.885,0.32298,0.71428,4,[0.00]
[90402ff1-e5fb-4172-a152-6eeb4177c181],WORD,PRINTED,38.637,0.31682,0.77801,4,[0.490.39]
[697a3f90-88c2-4d67-8a21-63bd7297746e],WORD,PRINTED,94.640,0.31821,0.93275,4,[7]
[eecc50ba-611c-4f48-9256-3f267ca74249],WORD,HANDWRITING,99.554,0.33369,0.36959,4,[0.10]
[20eec64f-9df2-45f3-89e9-872cdb65111e],WORD,PRINTED,91.178,0.34608,0.05713,4,[:]
[15cf4b8e-52f6-4b36-bf76-9b7de5c3282d],WORD,HANDWRITING,87.982,0.35044,0.50549,4,[0.58]
[a2f0fd38-d8e0-4ed0-9229-ecc18a558fc2],WORD,PRINTED,97.839,0.34984,0.57395,4,[0.00]
[878e1fa8-9805-49fb-b5da-7a761ee24c6d],WORD,HANDWRITING,98.779,0.34690,0.63977,4,[0.00]
[bca7c2f3-dd62-47fa-94d7-bdef0c73523a],WORD,HANDWRITING,99.453,0.34565,0.71414,4,[0.00]
[ca5a101c-b71f-40e6-8d48-cca91de67193],WORD,HANDWRITING,94.408,0.34371,0.77922,4,[0.2]
[2c335798-0063-40e7-bd64-2d9dd89d763d],WORD,HANDWRITING,50.492,0.34297,0.84986,4,[0.00]
[d5b193f7-8ca4-4483-ace8-aa1625be1d10],WORD,PRINTED,97.975,0.34332,0.93412,4,[8]
